food_id,name_kr,alias
ssalbab,쌀밥,쌀밥
galbitang,갈비탕,갈비탕
jeyugdeopbab,제육덮밥,제육덮밥
galcijorim,갈치조림,갈치조림
gamjatang,감자탕,감자탕
gamjatwigim(seutighyeong),감자튀김(스틱형),감자튀김(스틱형)
gamjatwigim(wejigamja),감자튀김(웨지감자),감자튀김(웨지감자)
gobcangjeongol,곱창전골,곱창전골
gimbab,김밥,김밥
gimciboggeumbab,김치볶음밥,김치볶음밥
ggaesipjangajji,깻잎장아찌,깻잎장아찌
ggongcijorim,꽁치조림,꽁치조림
ggocgetang,꽃게탕,꽃게탕
nogdubindaeddeog,녹두빈대떡,녹두빈대떡
dalgyalmali,달걀말이,달걀말이
dalggalbi,닭갈비,닭갈비
dalgboggeumtang,닭볶음탕,닭볶음탕
dalgjug,닭죽,닭죽
dalgtwigim,닭튀김,닭튀김
dongaseu,돈가스,돈가스
dwaejigalbi,돼지갈비,돼지갈비
dubugui,두부구이,두부구이
dubugimci,두부김치,두부김치
ddeoggalbi,떡갈비,떡갈비
ddeogmandusgug,떡만둣국,떡만둣국
ddeogboggi,떡볶이,떡볶이
raboggi,라볶이,라볶이
ryusanseuldeopbab,류산슬덮밥,류산슬덮밥
maeuntang,매운탕,매운탕
muneosughoe,문어숙회,문어숙회
mulhoe,물회,물회
misodoenjanggug,미소된장국,미소된장국
byeongeojjim,병어찜,병어찜
budaejjigae,부대찌개,부대찌개
samgyetang,삼계탕,삼계탕
samseonboggeumbab,삼선볶음밥,삼선볶음밥
samseonjjambbong,삼선짬뽕,삼선짬뽕
saeuboggeumbab,새우볶음밥,새우볶음밥
saeutwigim,새우튀김,새우튀김
sogogigimbab,소고기김밥,소고기김밥
sogogimugug,소고기무국,소고기무국
sujebi,수제비,수제비
sundaegug,순대국,순대국
sundaeboggeum,순대볶음,순대볶음
sundubujjigae,순두부찌개,순두부찌개
sigeumcinamul,시금치나물,시금치나물
siraegidoenjanggug,시래기된장국,시래기된장국
albab,알밥,알밥
altang,알탕,알탕
yangnyeomgejang,양념게장,양념게장
eomugboggeum,어묵볶음,어묵볶음
yeongyangdolsotbab,영양돌솥밥,영양돌솥밥
ogogbab,오곡밥,오곡밥
omeuraiseu(sagagbaedal),오므라이스(사각배달),오므라이스(사각배달)
omeuraiseu(jeobsi),오므라이스(접시),오므라이스(접시)
ojingeoboggeum,오징어볶음,오징어볶음
ojingeojeosgal,오징어젓갈,오징어젓갈
yuggaejang,육개장,육개장
ilsigudong,일식우동,일식우동
jajangmyeon,자장면,자장면
jabtangbab,잡탕밥,잡탕밥
jeonjubibimbab,전주비빔밥,전주비빔밥
jeonjukongnamulgugbab,전주콩나물국밥,전주콩나물국밥
jjolmyeon,쫄면,쫄면
camcimayosamgaggimbab,참치마요삼각김밥,참치마요삼각김밥
caesotwigim,채소튀김,채소튀김
conggaggimci,총각김치,총각김치
cikinwing,치킨윙,치킨윙
kareraiseu,카레라이스,카레라이스
kodarijorim,코다리조림,코다리조림
konseupeu,콘스프,콘스프
konggugsu,콩국수,콩국수
kongbab,콩밥,콩밥
keurimsoseuseupageti,크림소스스파게티,크림소스스파게티
tomatososeuseupageti,토마토소스스파게티,토마토소스스파게티
pajeon,파전,파전
haemuljjim,해물찜,해물찜
haembeogeoseuteikeu,햄버거스테이크,햄버거스테이크
hobagjug,호박죽,호박죽
hoenaengmyeon,회냉면,회냉면
hoedeopbab,회덮밥,회덮밥
hunjeyeoneo,훈제연어,훈제연어
hunjeori,훈제오리,훈제오리
