food_id,name_kr,serving_g,carb_g,protein_g,fat_g,sugar_g,sodium_mg
ssalbab,쌀밥,210.0,73.71000000000001,5.76,0.44999999999999996,0.0,59.400000000000006
gitajabgogbab,기타잡곡밥,200.0,65.52109999999999,6.7092,0.7462,0.0,3.3919999999999995
kongbab,콩밥,200.0,65.846,8.427999999999999,1.6660000000000001,0.0,4.1
boribab,보리밥,200.0,70.57,5.55,0.14,0.0,4.5
dolsotbab,돌솥밥,350.0,101.85,10.187,8.347000000000001,0.0,618.3149999999999
hyeonmibab,현미밥,230.0,77.8771,6.6575999999999995,1.1021,0.0,42.079
heugmibab,흑미밥,200.0,70.28999999999999,5.4399999999999995,0.39,0.0,4.5
gamjabab,감자밥,200.0,68.64,5.68,0.08,0.0,5.2
gondeurebab,곤드레밥,350.0,108.05199999999999,14.14,8.372,0.0,88.753
gimciboggeumbab,김치볶음밥,500.0,79.29000000000002,8.739999999999998,5.06,3.996,1094.91
jumeogbab,주먹밥,150.0,36.18000000000001,6.703,3.463,0.0,329.69
boggeumbab,볶음밥,400.0,100.328,24.458,19.29,0.0,1441.42
ilbanbibimbab,일반비빔밥,500.0,95.68336363600001,22.595090909,25.283909091,3.44,1234.0880000000002
jeonjubibimbab,전주비빔밥,450.0,92.98948756,15.843492536999998,13.033502488,3.44,1281.3020000000001
samseonboggeumbab,삼선볶음밥,400.0,113.42848756000001,19.258492537,16.842502488,5.093999999999999,1155.8060000000003
saeuboggeumbab,새우볶음밥,400.0,91.62000000000002,24.114999999999995,17.905,0.0,1124.628
albab,알밥,400.0,92.10000000000001,15.16,3.45,0.0,1647.8660000000002
sancaebibimbab,산채비빔밥,400.0,89.6601645,10.663298700999999,10.9935671,0.52,1060.7779999999998
omeuraiseu,오므라이스,450.0,101.62116449999999,23.145298700999998,19.751567100000003,0.0,1123.236
yughoebibimbab,육회비빔밥,450.0,91.74216450000004,32.001298701,17.5395671,2.58,1126.6
haemulboggeumbab,해물볶음밥,400.0,85.19216449999999,22.681298700999996,23.709567099999997,0.0,951.0300000000001
yeolmubibimbab,열무비빔밥,400.0,90.0321645,12.991298701,3.1595671,1.72,718.39
bulgogideopbab,불고기덮밥,500.0,92.0921645,29.311298701,21.3995671,5.99,1182.8799999999999
sogogigugbab,소고기국밥,700.0,54.93,16.04,4.74,0.0,1613.2100000000003
songideopbab,송이덮밥,600.0,103.57,16.28,14.45,0.0,1578.85
ojingeodeopbab,오징어덮밥,500.0,83.42800000000001,40.589999999999996,20.92,2.6879999999999997,1497.37
jajangbab,자장밥,500.0,98.078,25.758,24.949999999999996,4.0,1521.8500000000001
jabcaebab,잡채밥,650.0,125.70000000000002,21.139999999999997,28.610000000000003,4.0,2251.34
jabtangbab,잡탕밥,750.0,100.55000000000001,29.02,22.479999999999997,0.0,1922.1350000000004
jangeodeopbab,장어덮밥,400.0,103.036424242,26.135818182,19.236181818,0.0,893.22
jeyugdeopbab,제육덮밥,500.0,95.8,37.8,27.52,5.4,1375.6899999999998
jjambbongbab,짬뽕밥,900.0,93.41573338,41.79552295,22.41699592,0.0,2869.53538288
sundaegugbab,순대국밥,900.0,34.229,17.338,16.478,0.0,3418.195
kareraiseu,카레라이스,500.0,92.576,13.398,10.667,0.0,1108.55
jeonjukongnamulgugbab,전주콩나물국밥,900.0,88.732,12.496,3.525,0.0,1753.2550000000003
haemuldeopbab,해물덮밥,700.0,100.112,51.768,29.0,0.0,2117.832
hoedeopbab,회덮밥,500.0,101.753,42.992,11.397,18.405,777.6299999999999
someorigugbab,소머리국밥,1100.0,77.05799999999999,48.943,40.76200000000001,0.0,970.8949999999999
dwaejigugbab,돼지국밥,1200.0,78.28399999999999,56.754999999999995,36.452999999999996,3.3,1257.67
hairaiseu,하이라이스,360.0,84.591,7.92,9.669,0.0,991.68
gimcigimbab,김치김밥,250.0,71.80399999999999,11.449,4.619999999999999,0.0,967.7899999999998
nongeocobab,농어초밥,250.0,74.14399999999999,19.925,2.367,6.9719999999999995,1385.4599999999998
muneocobab,문어초밥,250.0,71.835,16.904,1.0300000000000002,4.98,1420.922
saeucobab,새우초밥,250.0,69.54299999999999,22.737,1.206,2.988,1396.751
saeutwigimrol,새우튀김롤,300.0,81.496,21.112000000000002,18.896,3.996,1512.5009999999997
